slug,voice,text,en,post,dialect
beid,female,بيض,eggs,esterhazy-1,shami
sfar-el-beid,female,صفار البيض,egg yolks,esterhazy-1,shami
byad-el-beid,female,بياض البيض,egg whites,esterhazy-1,shami
sokkar-boudra,female,سكّر بودرة,powdered sugar,esterhazy-1,shami
tahin,female,طحين,flour,esterhazy-1,shami
tahin-loz,female,طحين لوز,almond flour,esterhazy-1,shami
joz-mathun,female,جوز مطحون,ground walnuts,esterhazy-1,shami
halib,female,حليب,milk,esterhazy-1,shami
zebde,female,زبدة,butter,esterhazy-1,shami
kakaw,female,كاكاو,cocoa,esterhazy-1,shami
aseer-laymun,female,عصير ليمون,lemon juice,esterhazy-1,shami
joz-hend,female,جوز هند,coconut,esterhazy-1,shami
fosto-sudani,female,فستق سوداني,peanuts,esterhazy-1,shami
hamma-el-foron,female,حمّى الفرن,to preheat the oven,esterhazy-1,shami
fasal,female,فصل,to separate,esterhazy-1,shami
khafa,female,خفق,to whip,esterhazy-1,shami
daaf,female,ضاف,to add,esterhazy-1,shami
allab,female,قلّب,"to fold; to stir",esterhazy-1,shami
farad,female,فرد,to spread out,esterhazy-1,shami
khabaz,female,خبز,to bake,esterhazy-1,shami
sakhkhan,female,سخّن,to heat up,esterhazy-1,shami
sabb,female,صبّ,to pour,esterhazy-1,shami
tabakh,female,طبخ,to cook,esterhazy-1,shami
ghila,female,غلى,to boil,esterhazy-1,shami
barrad,female,برّد,to cool down,esterhazy-1,shami
ghatta,female,غطّى,to cover,esterhazy-1,shami
zayyan,female,زيّن,to decorate,esterhazy-1,shami
el-foron,female,الفرن,the oven,esterhazy-1,shami
el-khallat,female,الخلاط,the mixer,esterhazy-1,shami
tanjara,female,طنجرة,"pot; saucepan",esterhazy-1,shami
waraq-khabez,female,ورق خبز,baking parchment,esterhazy-1,shami
kees-tazyin,female,كيس تزيين,piping bag,esterhazy-1,shami
ud-asnan,female,عود أسنان,toothpick,esterhazy-1,shami
tabaqat,female,طبقات,layers,esterhazy-1,shami
hashwe,female,حشوة,filling,esterhazy-1,shami
bharaaret-el-ghorfe,female,بحرارة الغرفة,at room temperature,esterhazy-1,shami
lonha-dahabi,female,لونها ذهبي,"golden (lit. its color is golden)",esterhazy-1,shami
masek-halo,female,ماسك حاله,"set firm; holding together",esterhazy-1,shami
ala-zoi,female,على ذوقي,to my taste,esterhazy-1,shami
akhad-shoghol-ktir,female,أخد شغل كتير,it took a lot of work,esterhazy-1,shami
feedt-sabri,female,فقدت صبري,I lost my patience,esterhazy-1,shami
dallu-mtabin,female,ضلّوا متابعين,stay tuned,esterhazy-1,shami
