slug,voice,text,en,post,dialect
hadid,male,حَديد,"iron; metal",iron,both
strike-iron-hot,male,"إضرب الحديد وهو حامي.","Strike the iron while it's hot.",iron,shami
heart-like-iron,male,"قلبه متل الحديد.","His heart is like iron.",iron,shami
qasab,male,قَصَب,"reed; cane",personal-ops,both
bisaraha,male,بصراحة,"honestly; frankly",bisaraha,shami
madghut,male,مضغوط,"pressured; stressed; packed",crazy-week,shami
karsa,male,كارثة,"disaster; catastrophe; calamity",bad-hair-week,shami
saar,male,صَار,"became; happened; started to be",saar-daal,shami
dall,male,ضَلَّ,"stayed; remained; kept (doing)",saar-daal,shami
saar-cold,male,"صار برد.","It's gotten cold.",saar-daal,shami
saar-want-change-job,male,"صار بدّي أغيّر الشغل.","I've started wanting to change jobs.",saar-daal,shami
sho-saar,male,"شو صار؟","What happened?",saar-daal,shami
saar-time-go,male,"صار الوقت نروح.","It's time for us to go.",saar-daal,shami
dall-kept-waiting,male,"ضلّيت عم بستنى.","I kept waiting.",saar-daal,shami
dall-weather-cold,male,"ضلّ الجو برد.","The weather stayed cold.",saar-daal,shami
dall-situation-all-day,male,"ضلّ الوضع هيك طول النهار.","The situation stayed like that all day.",saar-daal,shami
dall-kept-thinking,male,"ضلّ عم يفكّر بالموضوع.","He kept thinking about the matter.",saar-daal,shami
fini,male,فِينِي,"I can; I am able to",ability-and-intent,shami
fini-come-tomorrow,male,"فيني أجي بكرا","I can come tomorrow",ability-and-intent,shami
baqdar-help-you,male,"بقدر ساعدك","I can help you",ability-and-intent,shami
mumkin-meet-today,male,"ممكن نلتقي اليوم","We might meet today",ability-and-intent,shami
bidi-talk-to-you,male,"بدي إحكي معك","I want to talk to you",ability-and-intent,shami
kan-bidi-come,male,"كان بدي أجي","I was going to come",ability-and-intent,shami
nawi-travel,male,"ناوي سافر","I'm planning to travel",ability-and-intent,shami
lazem-go-now,male,"لازم روح هلّق","I have to go now",ability-and-intent,shami
mafrud-be-there,male,"مفروض نكون هناك","We're supposed to be there",ability-and-intent,shami
